date,Adj Close,Close,High,Low,Open,Volume
03-01-2022,36421.47656,36421.89844,36492.10156,35526.60156,35585.19922,219000
04-01-2022,36839.71875,36840.14844,36887.80078,36374.39844,36551.25,190500
05-01-2022,37695.46094,37695.89844,37862.39844,36756.35156,36943.55078,237400
06-01-2022,37489.8125,37490.25,37752.5,37058.44922,37242.55078,199000
07-01-2022,37739.16406,37739.60156,38134.85156,37427.80078,37667.05078,183300
10-01-2022,38347.45313,38347.89844,38400.35156,37929.35156,37930.55078,206500
11-01-2022,38441.75391,38442.19922,38504.60156,38031.75,38370,159500
12-01-2022,38727.10156,38727.55078,38851.44922,38604.60156,38719.60156,156100
13-01-2022,38469.50391,38469.94922,38717.55078,38376.14844,38717.55078,159200
14-01-2022,38369.95313,38370.39844,38448.05078,38007.75,38302.35156,148600
17-01-2022,38215.70313,38216.14844,38617.5,38138.25,38212.55078,140300
18-01-2022,38209.85547,38210.30078,38855.55078,38095.39844,38337.39844,168800
19-01-2022,38040.91016,38041.35156,38330.5,37769.25,38145.75,165300
20-01-2022,37850.41016,37850.85156,38167.94922,37591.85156,38106.10156,149600
21-01-2022,37573.86328,37574.30078,37741,37224.25,37522.35156,157800
24-01-2022,36947.12109,36947.55078,37694.69922,36375.35156,37601.94922,231000
25-01-2022,37706.3125,37706.75,37788.80078,36415.60156,36598.05078,267500
27-01-2022,37981.66016,37982.10156,38147.64844,37012.25,37058.19922,346300
28-01-2022,37688.96094,37689.39844,38421.69922,37581.5,38246.60156,294300
31-01-2022,37974.91016,37975.35156,38217.25,37647.85156,38091.80078,217800
01-02-2022,38505.05078,38505.5,38802.69922,37690.60156,38460.44922,234100
02-02-2022,39330.04297,39330.5,39386.60156,38752.64844,38841.55078,252600
03-02-2022,39009.54688,39010,39424.85156,38861.14844,39255.69922,193800
04-02-2022,38788.90234,38789.35156,39278.60156,38562.60156,39128,163100
07-02-2022,37995.00781,37995.44922,38837.55078,37802.69922,38592.05078,241900
08-02-2022,38028.00781,38028.44922,38222.10156,37319.05078,38176.10156,200200
09-02-2022,38609.80078,38610.25,38648.14844,38192,38283.60156,124900
10-02-2022,39010.49609,39010.94922,39197.19922,38520,38801.44922,147800
11-02-2022,38516.80078,38517.25,38790.25,38396.39844,38567.64844,155000
14-02-2022,36908.12109,36908.55078,37796.55078,36828.05078,37664,213800
15-02-2022,38169.65625,38170.10156,38231.60156,36651.85156,36989.80078,193000
16-02-2022,37953.35938,37953.80078,38461.69922,37762.80078,38296.5,170100
17-02-2022,37531.21094,37531.64844,38124.5,37425.60156,38042.10156,136300
18-02-2022,37598.71094,37599.14844,37817.55078,37304.44922,37344.44922,113500
21-02-2022,37685.16406,37685.60156,38054.39844,37156.80078,37400,143300
22-02-2022,37371.21484,37371.64844,37659.39844,36818.10156,36833,159400
23-02-2022,37391.61719,37392.05078,37774.60156,37318,37628.55078,137300
24-02-2022,35227.69141,35228.10156,36709.14844,34991.35156,36085.19922,427800
25-02-2022,36430.32813,36430.75,36684.64844,35768.19922,35901.69922,372800
28-02-2022,36204.87891,36205.30078,36270.25,35611.89844,35938.94922,238300
02-03-2022,35372.39063,35372.80078,35553.69922,34897.44922,35381.89844,211300
03-03-2022,34943.89453,34944.30078,35804.14844,34721.14844,35621.14844,172500
04-03-2022,34407.40234,34407.80078,35097.75,34094.10156,34526.10156,194500
07-03-2022,32870.86719,32871.25,33543.30078,32376.5,33278.14844,248900
08-03-2022,33157.71484,33158.10156,33263.55078,32155.34961,32531.90039,276800
09-03-2022,33815.05469,33815.44922,33969.5,32948.89844,33278.89844,258500
10-03-2022,34475.19922,34475.60156,35374.14844,34218.05078,35153.94922,273900
11-03-2022,34545.84766,34546.25,34880.05078,34094.30078,34331,169500
14-03-2022,35311.73828,35312.14844,35435.10156,34625.05078,34660.25,193300
15-03-2022,35022.24219,35022.64844,35643.80078,34706.05078,35467.94922,224200
16-03-2022,35747.83594,35748.25,35806.35156,35461.55078,35555.75,173800
17-03-2022,36428.12891,36428.55078,36611.94922,36261.64844,36302,182000
21-03-2022,36018.08203,36018.5,36600.19922,35900.19922,36545.85156,128700
22-03-2022,36348.12891,36348.55078,36468.80078,35384.75,35975.60156,202900
23-03-2022,36146.92969,36147.35156,36827.60156,36064.75,36627.69922,197900
24-03-2022,35526.6875,35527.10156,35957.69922,35421.69922,35633.69922,205200
25-03-2022,35409.69141,35410.10156,35717.39844,35203.85156,35700.39844,157000
28-03-2022,35710.08594,35710.5,35770.80078,35016.30078,35488.69922,197000
29-03-2022,35846.98047,35847.39844,35977.19922,35506.55078,35931.75,177100
30-03-2022,36333.87891,36334.30078,36421.10156,36070.55078,36241.55078,325600
31-03-2022,36373.17969,36373.60156,36590.85156,36278.14844,36457.19922,188100
01-04-2022,37148.06641,37148.5,37209.80078,36242.35156,36298.35156,245700
04-04-2022,38634.75,38635.19922,38765.85156,37665.55078,37824.94922,309200
05-04-2022,38067.45703,38067.89844,38759.25,37935.94922,38731.30078,220600
06-04-2022,37632.36328,37632.80078,37868.5,37513.85156,37711.30078,198800
07-04-2022,37556.91406,37557.35156,37975.89844,37346.80078,37421.75,245000
08-04-2022,37751.61328,37752.05078,37884.19922,37405.19922,37619.69922,202200
11-04-2022,37613.36328,37613.80078,37941.75,37524.44922,37591.75,132100
12-04-2022,37746.96094,37747.39844,37920.60156,37264.44922,37407.39844,171000
13-04-2022,37462.96484,37463.39844,37988.60156,37408.19922,37887.30078,143300
18-04-2022,36728.57422,36729,36965.85156,36441.35156,36833.14844,182900
19-04-2022,36341.17969,36341.60156,37123.55078,35926.30078,36806.80078,216300
20-04-2022,36314.47656,36314.89844,36513.85156,36114.05078,36482.60156,153400
21-04-2022,36815.67188,36816.10156,36913.35156,36395.69922,36513.10156,132700
22-04-2022,36044.33203,36044.75,36578.94922,35991.5,36514.14844,140100
25-04-2022,36081.93359,36082.35156,36270.14844,35511.39844,35792.35156,183100
26-04-2022,36404.37891,36404.80078,36604.55078,36265.89844,36515.35156,143400
27-04-2022,36028.43359,36028.85156,36175.89844,35747.14844,36067.55078,134200
28-04-2022,36421.77734,36422.19922,36501.10156,35951.10156,36189.94922,137300
29-04-2022,36087.73047,36088.14844,36718.80078,35978.94922,36474.05078,172700
02-05-2022,36163.32813,36163.75,36235.25,35618.19922,35627.60156,170200
04-05-2022,35264.14063,35264.55078,36309.30078,35127.85156,36266.14844,214600
05-05-2022,35232.44141,35232.85156,35934.85156,35133.80078,35705.35156,167300
06-05-2022,34590.79688,34591.19922,34797.94922,34353.19922,34569.10156,199200
09-05-2022,34275,34275.39844,34554.35156,33927.19922,34091.75,179900
10-05-2022,34482.24609,34482.64844,34781.80078,34176.80078,34181.19922,138000
11-05-2022,34692.74609,34693.14844,34793.19922,34143.19922,34686.30078,179500
12-05-2022,33531.75781,33532.14844,34341.19922,33297.64844,34289.10156,382100
13-05-2022,33120.96484,33121.35156,34002.19922,33007.89844,33925.94922,272700
16-05-2022,33597.21094,33597.60156,33821.64844,33001.75,33256,195100
17-05-2022,34301.5,34301.89844,34366.05078,33680.60156,33796.19922,161500
18-05-2022,34163.30078,34163.69922,34655.80078,34134.69922,34448.19922,146800
19-05-2022,33315.26172,33315.64844,33633.94922,33180.60156,33461,150400
20-05-2022,34276,34276.39844,34358.05078,33658.05078,33765.14844,129400
23-05-2022,34247.20313,34247.60156,34819.94922,34117.35156,34321.39844,156000
24-05-2022,34289.75,34290.14844,34586.44922,34115.80078,34223.19922,163700
25-05-2022,34339.10156,34339.5,34722.60156,34285.80078,34491.80078,153600
26-05-2022,35094.49219,35094.89844,35222.05078,34424.75,34670.60156,191500
27-05-2022,35612.88672,35613.30078,35694.85156,35291.94922,35326.60156,132600
30-05-2022,35826.53125,35826.94922,36083.69922,35748.44922,35958.80078,127000
31-05-2022,35486.98438,35487.39844,35881.94922,35288.94922,35615.30078,149300
01-06-2022,35620.38672,35620.80078,35768.69922,35285.44922,35358.94922,100800
02-06-2022,35613.23438,35613.64844,35676.19922,35385,35470.94922,140700
03-06-2022,35274.64063,35275.05078,35958.44922,35175.10156,35929.55078,104800
06-06-2022,35309.78906,35310.19922,35424.5,35072.30078,35159.14844,100800
07-06-2022,34995.59375,34996,35154.30078,34834.39844,35080.80078,91600
08-06-2022,34945.74219,34946.14844,35449.89844,34831.75,35165.64844,124600
09-06-2022,35085.04297,35085.44922,35149.10156,34659.10156,34802.25,100900
10-06-2022,34483.39844,34483.80078,34752.44922,34346.64844,34686.94922,90000
13-06-2022,33405.46484,33405.85156,33774.05078,33210.35156,33728.64844,131900
14-06-2022,33310.96484,33311.35156,33618.14844,33123.89844,33180.60156,113200
15-06-2022,33338.61328,33339,33554.55078,33249.55078,33317.80078,90800
16-06-2022,32616.7207,32617.09961,33756.5,32537.94922,33648.80078,129500
17-06-2022,32742.66992,32743.05078,32889.80078,32290.55078,32393.44922,139800
20-06-2022,32684.41992,32684.80078,32926.10156,32426.40039,32873.39844,144400
21-06-2022,33191.36328,33191.75,33593.80078,32797.55078,32978.05078,258100
22-06-2022,32844.91797,32845.30078,33106.94922,32758.15039,33051.64844,135000
23-06-2022,33134.61328,33135,33431.75,32652.15039,32927.39844,193100
24-06-2022,33627.05859,33627.44922,33721.89844,33390.85156,33434.80078,149800
27-06-2022,33810.85547,33811.25,34147.5,33735.5,34126.19922,111400
28-06-2022,33642.05859,33642.44922,33745.30078,33503.30078,33578.19922,125000
29-06-2022,33269.51172,33269.89844,33422.80078,33185.25,33273.55078,140800
30-06-2022,33424.71484,33425.10156,33659.30078,33179.60156,33180.69922,149500
01-07-2022,33539.05859,33539.44922,33666.5,33080.44922,33264.75,149900
04-07-2022,33940.50391,33940.89844,33978.5,33515.60156,33558.85156,152600
05-07-2022,33815.50391,33815.89844,34361.05078,33757,34084.69922,115000
06-07-2022,34323.85156,34324.25,34388.5,33876.14844,33929.39844,122700
07-07-2022,34919.89453,34920.30078,34965.75,34553.10156,34627.39844,184000
08-07-2022,35123.64063,35124.05078,35262.10156,34977.75,35258.89844,109000
11-07-2022,35469.23438,35469.64844,35543.10156,35006.55078,35017.60156,130600
